# autocorr = True
# data_size1 = 999029
# data_size2 = 999029
# sum_data_weights1 = 999029
# sum_data_weights2 = 999029
# randoms_size1 = 0
# randoms_size2 = 0
# sum_randoms_weights1 = 0.000000000000e+00
# sum_randoms_weights2 = 0.000000000000e+00
# shifted_size1 = 0
# shifted_size2 = 0
# sum_shifted_weights1 = 0.000000000000e+00
# sum_shifted_weights2 = 0.000000000000e+00
# los_type = global
# los = [0.000000000000e+00 0.000000000000e+00 1.000000000000e+00]
# nmesh = [256 256 256]
# boxsize = [1.000000000000e+03 1.000000000000e+03 1.000000000000e+03]
# boxcenter = [5.000000000000e+02 5.000000000000e+02 5.000000000000e+02]
# resampler1 = tsc
# resampler2 = tsc
# interlacing1 = 2
# interlacing2 = 2
# shotnoise = 1.000971943757e+03
# wnorm = 9.980589428410e+02
# nmodes kmid               kavg               P0(k)               P2(k)
1        2.500000000000e-03 0.000000000000e+00 -1.000971943757e+03 0.000000000000e+00
18       7.500000000000e-03 8.018239019938e-03 4.759786851117e+04  1.215973914149e+04
38       1.250000000000e-02 1.314872895419e-02 5.418445126040e+04  2.146887455649e+04
90       1.750000000000e-02 1.805532940581e-02 5.423647891434e+04  3.228887324531e+04
104      2.250000000000e-02 2.256174596344e-02 5.481283785981e+04  2.374280302158e+04
210      2.750000000000e-02 2.750008340387e-02 4.538193954796e+04  2.580194692593e+04
278      3.250000000000e-02 3.280863487728e-02 4.114255067761e+04  2.397676358030e+04
306      3.750000000000e-02 3.755727232683e-02 3.430309556969e+04  1.533084437673e+04
506      4.250000000000e-02 4.248076988403e-02 3.346063498499e+04  1.528100090666e+04
552      4.750000000000e-02 4.756032488813e-02 2.878129707801e+04  1.443230023860e+04
698      5.250000000000e-02 5.252712722896e-02 2.708024641144e+04  1.206161363782e+04
942      5.750000000000e-02 5.779487932007e-02 2.514914683046e+04  1.044911926648e+04
954      6.250000000000e-02 6.299165247415e-02 2.316453372216e+04  6.578292851285e+03
1046     6.750000000000e-02 6.758906438455e-02 2.305988598758e+04  1.004229287607e+04
1380     7.250000000000e-02 7.243003264742e-02 2.068205474184e+04  8.308229936850e+03
1586     7.750000000000e-02 7.767184032540e-02 1.889357970599e+04  7.067860990781e+03
1686     8.250000000000e-02 8.268850849399e-02 1.723734251677e+04  7.367294043430e+03
1898     8.750000000000e-02 8.757612395003e-02 1.596097772113e+04  9.469237326091e+03
2118     9.250000000000e-02 9.244367346106e-02 1.461025276034e+04  5.732600339191e+03
2468     9.750000000000e-02 9.743589958747e-02 1.303355893274e+04  6.710607247246e+03
2670     1.025000000000e-01 1.025277277285e-01 1.193790829574e+04  3.581183798035e+03
3026     1.075000000000e-01 1.076367897564e-01 1.081586197783e+04  3.985118858559e+03
3102     1.125000000000e-01 1.126030108298e-01 1.110926516257e+04  4.880520628203e+03
3362     1.175000000000e-01 1.174435523320e-01 1.053292998604e+04  4.391346661557e+03
3948     1.225000000000e-01 1.224354567790e-01 1.004856156792e+04  3.419299023324e+03
4206     1.275000000000e-01 1.275909424144e-01 9.497725196798e+03  3.988260662736e+03
4562     1.325000000000e-01 1.327042982110e-01 8.824007270057e+03  4.180998944141e+03
4542     1.375000000000e-01 1.376182267189e-01 9.033146427466e+03  3.580763735624e+03
5186     1.425000000000e-01 1.425090683582e-01 8.185655876465e+03  3.173995887116e+03
5568     1.475000000000e-01 1.475486096137e-01 7.633393228854e+03  2.986865005120e+03
5690     1.525000000000e-01 1.524841917983e-01 7.460143961066e+03  2.876982840463e+03
6258     1.575000000000e-01 1.574166845971e-01 6.989691371522e+03  3.043323820306e+03
6926     1.625000000000e-01 1.624974643161e-01 6.432498927710e+03  2.385645250791e+03
7026     1.675000000000e-01 1.675381308764e-01 6.351509938045e+03  2.175016189966e+03
7496     1.725000000000e-01 1.724963130576e-01 5.965874139597e+03  2.462789763574e+03
7938     1.775000000000e-01 1.774712770020e-01 5.782595249705e+03  1.917943664025e+03
8574     1.825000000000e-01 1.825076321384e-01 5.579116543943e+03  2.039346665616e+03
8978     1.875000000000e-01 1.875640465880e-01 5.513131414621e+03  2.292537959813e+03
9102     1.925000000000e-01 1.925034147216e-01 5.395662716530e+03  1.989487982609e+03
10004    1.975000000000e-01 1.974610466491e-01 4.996931596293e+03  1.556439779809e+03
10362    2.025000000000e-01 2.024897758977e-01 4.921288162952e+03  1.745525018104e+03
10958    2.075000000000e-01 2.074980489889e-01 4.914333522884e+03  1.836581861938e+03
11538    2.125000000000e-01 2.125379706856e-01 4.658005699518e+03  1.488097781872e+03
11678    2.175000000000e-01 2.174786209281e-01 4.416050624108e+03  1.429849701103e+03
12588    2.225000000000e-01 2.224254717208e-01 4.249802752779e+03  1.419017202483e+03
13286    2.275000000000e-01 2.274793210984e-01 4.149855825763e+03  1.323327499589e+03
13770    2.325000000000e-01 2.325347957279e-01 4.000676562844e+03  1.482050845069e+03
14354    2.375000000000e-01 2.375611571002e-01 3.786661381201e+03  1.435523834780e+03
14472    2.425000000000e-01 2.424867425601e-01 3.756459937079e+03  1.063206133364e+03
15738    2.475000000000e-01 2.474529052582e-01 3.609833298135e+03  1.051077686602e+03
16382    2.525000000000e-01 2.525332956614e-01 3.555579060047e+03  1.034643820506e+03
16602    2.575000000000e-01 2.575376918849e-01 3.460948298421e+03  9.719274339767e+02
17270    2.625000000000e-01 2.624845290713e-01 3.350553296620e+03  1.016061473705e+03
18372    2.675000000000e-01 2.674817827519e-01 3.283233604991e+03  9.544728559335e+02
18926    2.725000000000e-01 2.725323452626e-01 3.079643392942e+03  7.606736767672e+02
18954    2.775000000000e-01 2.774890541225e-01 3.049453736236e+03  6.155889443173e+02
20858    2.825000000000e-01 2.825008128017e-01 3.032165681245e+03  8.589893519091e+02
20814    2.875000000000e-01 2.875582807054e-01 2.957348295897e+03  7.911011539402e+02
21308    2.925000000000e-01 2.924876450536e-01 2.833555144195e+03  8.246773692397e+02
22590    2.975000000000e-01 2.974705092192e-01 2.754240878980e+03  6.801161296759e+02
23402    3.025000000000e-01 3.025238572935e-01 2.623499139335e+03  6.125842705324e+02
23910    3.075000000000e-01 3.075420185834e-01 2.695415877302e+03  5.340976356664e+02
24450    3.125000000000e-01 3.125036155810e-01 2.533432844975e+03  6.304234224530e+02
25004    3.175000000000e-01 3.174195707716e-01 2.473540729156e+03  5.458696743258e+02
27462    3.225000000000e-01 3.224832156171e-01 2.502589926817e+03  4.348059744692e+02
27338    3.275000000000e-01 3.276040804220e-01 2.407118327328e+03  4.912555829001e+02
27582    3.325000000000e-01 3.325813096228e-01 2.345998151257e+03  5.729750483656e+02
28610    3.375000000000e-01 3.375128517804e-01 2.311129625952e+03  4.659096263875e+02
30024    3.425000000000e-01 3.425143414310e-01 2.273658932910e+03  3.894719087212e+02
30650    3.475000000000e-01 3.475504826484e-01 2.271991507199e+03  5.448334891227e+02
31182    3.525000000000e-01 3.525362340235e-01 2.128358677856e+03  4.250143331110e+02
32210    3.575000000000e-01 3.575039692203e-01 2.126070976900e+03  3.165776443426e+02
33714    3.625000000000e-01 3.625128064239e-01 2.014445481484e+03  4.039298485934e+02
33984    3.675000000000e-01 3.675262372573e-01 2.003881730670e+03  3.811231491634e+02
35402    3.725000000000e-01 3.725324622684e-01 1.948546319173e+03  3.257810634390e+02
36198    3.775000000000e-01 3.775559539331e-01 1.915685234453e+03  3.513101513204e+02
36554    3.825000000000e-01 3.825269232674e-01 1.889905502013e+03  2.894165383919e+02
38142    3.875000000000e-01 3.874968634011e-01 1.863041247279e+03  2.796069186048e+02
38660    3.925000000000e-01 3.924779724110e-01 1.811308437784e+03  2.111886420642e+02
40410    3.975000000000e-01 3.974905273653e-01 1.805303750217e+03  1.501546349992e+02
41270    4.025000000000e-01 4.025266606153e-01 1.743318843719e+03  1.459357882187e+02
41634    4.075000000000e-01 4.075128973082e-01 1.754996877418e+03  1.936699755348e+02
43262    4.125000000000e-01 4.124933547873e-01 1.705331767679e+03  1.196810831567e+02
44076    4.175000000000e-01 4.174953984747e-01 1.638450689243e+03  7.157678786708e+01
45398    4.225000000000e-01 4.225074486661e-01 1.613388309644e+03  1.290659045222e+02
46266    4.275000000000e-01 4.275163179215e-01 1.578786121591e+03  1.862775779704e+02
47430    4.325000000000e-01 4.325156251756e-01 1.524866711267e+03  1.605240531777e+02
47618    4.375000000000e-01 4.374762052699e-01 1.518002739069e+03  9.923437870925e+01
50220    4.425000000000e-01 4.424586201998e-01 1.519246242557e+03  7.809352453057e+01
51302    4.475000000000e-01 4.475246262845e-01 1.468120861487e+03  8.782158633627e+01
51474    4.525000000000e-01 4.525303546032e-01 1.432226963457e+03  1.215209728401e+02
53054    4.575000000000e-01 4.575101800343e-01 1.423992792324e+03  5.124142625367e+01
54570    4.625000000000e-01 4.625324461271e-01 1.390579525489e+03  6.768314787239e+00
55376    4.675000000000e-01 4.675449420218e-01 1.355348553831e+03  -1.177929390354e+01
56082    4.725000000000e-01 4.725300059168e-01 1.349231564453e+03  4.883851958473e+01
57698    4.775000000000e-01 4.775098588644e-01 1.351819154485e+03  1.280233567659e+01
59478    4.825000000000e-01 4.825247794983e-01 1.305403949517e+03  -2.253516389564e+01
58988    4.875000000000e-01 4.874921487116e-01 1.284734269158e+03  3.013609120358e+01
62670    4.925000000000e-01 4.924939770105e-01 1.264178487559e+03  4.706827310479e+00
62250    4.975000000000e-01 4.975223200791e-01 1.242272576692e+03  -4.975053700495e+01
